13:15:27.418 (0x53a0) [info ]
13:15:27.423 (0x53a0) [info ] ----- App init ------
13:15:27.423 (0x53a0) [info ] SerialPortDemo V1.0.0.0, compiled at Wed Apr 12 09:22:44 2023
13:15:27.423 (0x53a0) [info ] Exe file: E:/BaiduSyncdisk/SACAR/SerialPortForHeard/SerialPortForHeard/SerialPortForHeard/SerialPortForHeard-Debug/SerialPortDemo/debug/SerialPortDemo.exe
13:15:27.424 (0x53a0) [info ] App path: E:/BaiduSyncdisk/SACAR/SerialPortForHeard/SerialPortForHeard/SerialPortForHeard/SerialPortForHeard-Debug/SerialPortDemo
13:15:27.424 (0x53a0) [info ] Check chinese support: 012汉字abc
13:15:27.424 (0x53a0) [info ] ----- msAppInit: 11717443.888400, 00:19:31.10546443
13:15:28.803 (0x53a0) [warn ] qrc:/qml/BottomMain.qml:12:5: QML Rectangle: Detected anchors on an item that is managed by a layout. This is undefined behavior; use Layout.alignment instead.
13:15:28.966 (0x53a0) [warn ] file:///D:/Qt/Qt5.14.2/5.14.2/msvc2017_64/qml/QtQuick/Dialogs/DefaultFileDialog.qml:102:33: QML Settings: Failed to initialize QSettings instance. Status code is: 1
13:15:28.967 (0x53a0) [warn ] file:///D:/Qt/Qt5.14.2/5.14.2/msvc2017_64/qml/QtQuick/Dialogs/DefaultFileDialog.qml:102:33: QML Settings: The following application identifiers have not been set: QVector("organizationName", "organizationDomain")
13:15:29.273 (0x53a0) [warn ] qrc:/qml/basic/ComboBox.qml:9: ReferenceError: combobox_implicit_width is not defined
13:15:29.306 (0x53a0) [debug] qml: [trace]activetrue
13:15:31.185 (0x53a0) [debug] qml: [trace]activefalse
13:15:35.245 (0x53a0) [debug] qml: [trace]activetrue
13:15:36.571 (0x53a0) [trace] qml:
13:15:36.599 (0x53a0) [info ] ----- msAppExit: 11726624.494100, 00:19:32.10554624
13:15:36.599 (0x53a0) [info ] app running: 9180.605700, 00:00:00.9180
13:15:36.600 (0x53a0) [info ] app return: 0
13:15:36.600 (0x53a0) [info ] ----- App exit ------
13:17:52.752 (0x0eec) [info ]
13:17:52.754 (0x0eec) [info ] ----- App init ------
13:17:52.754 (0x0eec) [info ] SerialPortDemo V1.0.0.0, compiled at Wed Apr 12 09:22:44 2023
13:17:52.755 (0x0eec) [info ] Exe file: E:/BaiduSyncdisk/SACAR/SerialPortForHeard/SerialPortForHeard/SerialPortForHeard/SerialPortForHeard-Debug/SerialPortDemo/debug/SerialPortDemo.exe
13:17:52.755 (0x0eec) [info ] App path: E:/BaiduSyncdisk/SACAR/SerialPortForHeard/SerialPortForHeard/SerialPortForHeard/SerialPortForHeard-Debug/SerialPortDemo
13:17:52.755 (0x0eec) [info ] Check chinese support: 012汉字abc
13:17:52.756 (0x0eec) [info ] ----- msAppInit: 11862777.900600, 00:19:45.10677777
13:17:54.002 (0x0eec) [warn ] qrc:/qml/BottomMain.qml:12:5: QML Rectangle: Detected anchors on an item that is managed by a layout. This is undefined behavior; use Layout.alignment instead.
13:17:54.116 (0x0eec) [warn ] file:///D:/Qt/Qt5.14.2/5.14.2/msvc2017_64/qml/QtQuick/Dialogs/DefaultFileDialog.qml:102:33: QML Settings: Failed to initialize QSettings instance. Status code is: 1
13:17:54.117 (0x0eec) [warn ] file:///D:/Qt/Qt5.14.2/5.14.2/msvc2017_64/qml/QtQuick/Dialogs/DefaultFileDialog.qml:102:33: QML Settings: The following application identifiers have not been set: QVector("organizationName", "organizationDomain")
13:17:54.403 (0x0eec) [warn ] qrc:/qml/basic/ComboBox.qml:9: ReferenceError: combobox_implicit_width is not defined
13:17:54.434 (0x0eec) [debug] qml: [trace]activetrue
13:17:58.407 (0x0eec) [debug] false
13:17:58.407 (0x0eec) [debug]  openPort is working 
13:17:58.410 (0x0eec) [debug] "COM11" 115200 QSerialPort::Data8 QSerialPort::NoParity QSerialPort::OneStop
13:17:59.007 (0x0eec) [debug] sacnIsStart:  false
13:17:59.010 (0x0eec) [debug] sacnIsStart:  false
13:18:01.394 (0x0eec) [debug] sacnIsStart:  false
13:18:01.397 (0x0eec) [debug] sacnIsStart:  false
13:18:01.547 (0x0eec) [debug] sacnIsStart:  false
13:18:01.549 (0x0eec) [debug] sacnIsStart:  false
13:18:01.944 (0x0eec) [debug] sacnIsStart:  false
13:18:01.947 (0x0eec) [debug] sacnIsStart:  false
13:18:02.439 (0x0eec) [debug] sacnIsStart:  false
13:18:02.441 (0x0eec) [debug] sacnIsStart:  false
13:18:02.610 (0x0eec) [debug] sacnIsStart:  false
13:18:02.612 (0x0eec) [debug] sacnIsStart:  false
13:18:03.214 (0x0eec) [debug] sacnIsStart:  false
13:18:03.217 (0x0eec) [debug] sacnIsStart:  false
13:18:03.823 (0x0eec) [debug] sacnIsStart:  false
13:18:03.826 (0x0eec) [debug] sacnIsStart:  false
13:18:05.363 (0x0eec) [debug] sacnIsStart:  false
13:18:05.365 (0x0eec) [debug] sacnIsStart:  false
13:18:05.911 (0x0eec) [debug] sacnIsStart:  false
13:18:05.913 (0x0eec) [debug] sacnIsStart:  false
13:18:15.867 (0x0eec) [debug] sacnIsStart:  false
13:18:15.869 (0x0eec) [debug] sacnIsStart:  false
13:18:24.004 (0x0eec) [debug] sacnIsStart:  false
13:18:24.007 (0x0eec) [debug] sacnIsStart:  false
13:18:26.297 (0x0eec) [debug] sacnIsStart:  false
13:18:26.299 (0x0eec) [debug] sacnIsStart:  false
13:18:28.619 (0x0eec) [debug] sacnIsStart:  false
13:18:28.621 (0x0eec) [debug] sacnIsStart:  false
13:18:30.300 (0x0eec) [debug] sacnIsStart:  false
13:18:30.303 (0x0eec) [debug] sacnIsStart:  false
13:18:30.587 (0x0eec) [debug] sacnIsStart:  false
13:18:30.589 (0x0eec) [debug] sacnIsStart:  false
13:18:30.875 (0x0eec) [debug] sacnIsStart:  false
13:18:30.878 (0x0eec) [debug] sacnIsStart:  false
13:18:31.036 (0x0eec) [debug] sacnIsStart:  false
13:18:31.039 (0x0eec) [debug] sacnIsStart:  false
13:18:31.414 (0x0eec) [debug] sacnIsStart:  false
13:18:31.417 (0x0eec) [debug] sacnIsStart:  false
13:18:31.519 (0x0eec) [debug] sacnIsStart:  false
13:18:31.521 (0x0eec) [debug] sacnIsStart:  false
13:18:31.630 (0x0eec) [debug] sacnIsStart:  false
13:18:31.632 (0x0eec) [debug] sacnIsStart:  false
13:18:31.751 (0x0eec) [debug] sacnIsStart:  false
13:18:31.754 (0x0eec) [debug] sacnIsStart:  false
13:18:31.884 (0x0eec) [debug] sacnIsStart:  false
13:18:31.887 (0x0eec) [debug] sacnIsStart:  false
13:18:32.035 (0x0eec) [debug] sacnIsStart:  false
13:18:32.037 (0x0eec) [debug] sacnIsStart:  false
13:18:32.214 (0x0eec) [debug] sacnIsStart:  false
13:18:32.217 (0x0eec) [debug] sacnIsStart:  false
13:18:33.272 (0x0eec) [debug] sacnIsStart:  false
13:18:33.275 (0x0eec) [debug] sacnIsStart:  false
13:18:37.591 (0x0eec) [debug] sacnIsStart:  false
13:18:37.593 (0x0eec) [debug] sacnIsStart:  false
13:18:39.624 (0x0eec) [debug] sacnIsStart:  false
13:18:39.626 (0x0eec) [debug] sacnIsStart:  false
13:18:41.213 (0x0eec) [debug] sacnIsStart:  false
13:18:41.215 (0x0eec) [debug] sacnIsStart:  false
13:18:41.754 (0x0eec) [debug] sacnIsStart:  false
13:18:41.756 (0x0eec) [debug] sacnIsStart:  false
